date,relhumid
2011-01-01,0.8736124401913333
2011-01-16,0.8635670987415334
2011-01-31,0.8425101010100667
2011-02-15,0.7076484483607334
2011-03-02,0.7863707102075334
2011-03-17,0.7528768115942001
2011-04-01,0.7569999999999334
2011-04-16,0.5296388888888667
2011-05-01,0.6039444444444
2011-05-16,0.5912499999998667
2011-05-31,0.5293888888888667
2011-06-15,0.6665277777779333
2011-06-30,0.7068333333333333
2011-07-15,0.5558888888888001
2011-07-30,0.6674166666666667
2011-08-14,0.7051666666667333
2011-08-29,0.7132222222222
2011-09-13,0.708138888889
2011-09-28,0.8124722222222667
2011-10-13,0.8057777777778666
2011-10-28,0.7816280193236668
2011-11-12,0.8439166666666666
2011-11-27,0.8757777777776667
2011-12-12,0.909638888889
2011-12-27,0.8994166666666668
2012-01-11,0.8444166666666
2012-01-26,0.7261944444443333
2012-02-10,0.8235314009662
2012-02-25,0.8348768115942666
2012-03-11,0.7765555555553999
2012-03-26,0.8193888888889334
2012-04-10,0.7247777777777333
2012-04-25,0.5258888888888666
2012-05-10,0.5157777777777334
2012-05-25,0.6526111111111333
2012-06-09,0.6219999999999334
2012-06-24,0.6242777777778
2012-07-09,0.63325
2012-07-24,0.5631111111110666
2012-08-08,0.7139444444444667
2012-08-23,0.7579722222222001
2012-09-07,0.7087222222222667
2012-09-22,0.6957777777778666
2012-10-07,0.8418055555556
2012-10-22,0.8369444444445333
2012-11-06,0.8213611111112
2012-11-21,0.8955833333333333
2012-12-06,0.7950282263630667
2012-12-21,0.8368129756646667
2013-01-05,0.9051835748792667
2013-01-20,0.8630254108591333
2013-02-04,0.8866388888889334
2013-02-19,0.7988973429952
2013-03-06,0.7777874396136001
2013-03-21,0.7750810450038668
2013-04-05,0.564
2013-04-20,0.5406944444444667
2013-05-05,0.47988888888893333
2013-05-20,0.6856944444444667
2013-06-04,0.5798888888888667
2013-06-19,0.6441944444444
2013-07-04,0.6283333333333334
2013-07-19,0.7254722222222
2013-08-03,0.7182777777777333
2013-08-18,0.6579444444444
2013-09-02,0.8296666666666
2013-09-17,0.84625
2013-10-02,0.7584166666667334
2013-10-17,0.8204444444444667
2013-11-01,0.8403333333332
2013-11-16,0.8213055555556
2013-12-01,0.8223059947298
2013-12-16,0.8945326086956666
2013-12-31,0.9111944444444
2014-01-15,0.8018933810150667
2014-01-30,0.8228806543697333
2014-02-14,0.78479589372
2014-03-01,0.7661944444444667
2014-03-16,0.6378888888888666
2014-03-31,0.6075555555556666
2014-04-15,0.4947499999999333
2014-04-30,0.6345
2014-05-15,0.5079722222223333
2014-05-30,0.5126111111111333
2014-06-14,0.7043333333331999
2014-06-29,0.5808888888888667
2014-07-14,0.48730555555553334
2014-07-29,0.5135555555556001
2014-08-13,0.5845555555555334
2014-08-28,0.6530555555556
2014-09-12,0.5814444444444
2014-09-27,0.6374444444444667
2014-10-12,0.6843611111110667
2014-10-27,0.6910555555556
2014-11-11,0.7984444444444
2014-11-26,0.7901394830659334
2014-12-11,0.8936111111111332
2014-12-26,0.7918458266880001
