date,sunhours
2011-01-01,-1.0
2011-01-16,-1.0
2011-01-31,-1.0
2011-02-15,-1.0
2011-03-02,-1.0
2011-03-17,-1.0
2011-04-01,-1.0
2011-04-16,-1.0
2011-05-01,-1.0
2011-05-16,-1.0
2011-05-31,-1.0
2011-06-15,-1.0
2011-06-30,-1.0
2011-07-15,-1.0
2011-07-30,-1.0
2011-08-14,-1.0
2011-08-29,-1.0
2011-09-13,-1.0
2011-09-28,-1.0
2011-10-13,-1.0
2011-10-28,-1.0
2011-11-12,-1.0
2011-11-27,-1.0
2011-12-12,-1.0
2011-12-27,-1.0
2012-01-11,-1.0
2012-01-26,-1.0
2012-02-10,-1.0
2012-02-25,-1.0
2012-03-11,-1.0
2012-03-26,-1.0
2012-04-10,-1.0
2012-04-25,-1.0
2012-05-10,-1.0
2012-05-25,-1.0
2012-06-09,-1.0
2012-06-24,-1.0
2012-07-09,-1.0
2012-07-24,-1.0
2012-08-08,-1.0
2012-08-23,-1.0
2012-09-07,-1.0
2012-09-22,-1.0
2012-10-07,-1.0
2012-10-22,-1.0
2012-11-06,-1.0
2012-11-21,-1.0
2012-12-06,-1.0
2012-12-21,-1.0
2013-01-05,-1.0
2013-01-20,-1.0
2013-02-04,-1.0
2013-02-19,-1.0
2013-03-06,-1.0
2013-03-21,-1.0
2013-04-05,-1.0
2013-04-20,-1.0
2013-05-05,-1.0
2013-05-20,-1.0
2013-06-04,-1.0
2013-06-19,-1.0
2013-07-04,-1.0
2013-07-19,-1.0
2013-08-03,-1.0
2013-08-18,-1.0
2013-09-02,-1.0
2013-09-17,-1.0
2013-10-02,-1.0
2013-10-17,-1.0
2013-11-01,-1.0
2013-11-16,-1.0
2013-12-01,-1.0
2013-12-16,-1.0
2013-12-31,-1.0
2014-01-15,-1.0
2014-01-30,-1.0
2014-02-14,-1.0
2014-03-01,-1.0
2014-03-16,-1.0
2014-03-31,-1.0
2014-04-15,-1.0
2014-04-30,-1.0
2014-05-15,-1.0
2014-05-30,-1.0
2014-06-14,-1.0
2014-06-29,-1.0
2014-07-14,-1.0
2014-07-29,-1.0
2014-08-13,-1.0
2014-08-28,-1.0
2014-09-12,-1.0
2014-09-27,-1.0
2014-10-12,-1.0
2014-10-27,-1.0
2014-11-11,-1.0
2014-11-26,-1.0
2014-12-11,-1.0
2014-12-26,-1.0
