date,wind
2011-01-01,3.3650980784206665
2011-01-16,2.954033080808
2011-01-31,4.865868348077333
2011-02-15,3.8256078226606665
2011-03-02,3.561276398422667
2011-03-17,3.980571634041333
2011-04-01,3.4472440445746666
2011-04-16,2.9572608675646
2011-05-01,2.5974786375220003
2011-05-16,2.6125750487333335
2011-05-31,2.954372685667333
2011-06-15,2.9363788757026668
2011-06-30,2.6676149532853333
2011-07-15,2.674469052864
2011-07-30,2.735678359684
2011-08-14,2.4757055750353336
2011-08-29,3.21205997015
2011-09-13,2.8032589049839998
2011-09-28,3.621190859822
2011-10-13,2.465588663508867
2011-10-28,3.495762542088667
2011-11-12,3.572598172198667
2011-11-27,3.6835374375826664
2011-12-12,4.44750978836
2011-12-27,3.563721014494
2012-01-11,2.6490760869566667
2012-01-26,3.097444444444
2012-02-10,2.5923055555566665
2012-02-25,2.654277777778
2012-03-11,4.692309508124667
2012-03-26,4.072083141978667
2012-04-10,2.9936131886406665
2012-04-25,2.933650497620667
2012-05-10,3.6700562733153332
2012-05-25,3.089554198767333
2012-06-09,3.227356672038
2012-06-24,3.0318260451719996
2012-07-09,2.764575073428
2012-07-24,2.246523487640667
2012-08-08,3.025790425630667
2012-08-23,3.2572343753266666
2012-09-07,3.0654922809333334
2012-09-22,3.0714991474846665
2012-10-07,3.156982937834667
2012-10-22,4.083960443307333
2012-11-06,3.6347009063053335
2012-11-21,2.9961056823572667
2012-12-06,4.8071139009133335
2012-12-21,3.7703960970733332
2013-01-05,2.7432787681553332
2013-01-20,3.235730200556
2013-02-04,4.191298930296667
2013-02-19,2.877057835401333
2013-03-06,4.145948843077333
2013-03-21,4.329425967752667
2013-04-05,2.774935733230667
2013-04-20,4.024784067215333
2013-05-05,2.9117154054873335
2013-05-20,2.7535174199873333
2013-06-04,2.61963010008
2013-06-19,2.813407839261333
2013-07-04,2.6117482329233335
2013-07-19,3.25562962963
2013-08-03,1.9151944444444
2013-08-18,1.9578969038206666
2013-09-02,2.5475416331845335
2013-09-17,3.1270976065
2013-10-02,2.8482112742339996
2013-10-17,3.4244343434346667
2013-11-01,3.407807390678
2013-11-16,4.2431785714286665
2013-12-01,4.792787037037333
2013-12-16,3.615619523391333
2013-12-31,3.354785587762
2014-01-15,3.4027849547086664
2014-01-30,2.7866569035966666
2014-02-14,3.3677813122226667
2014-03-01,3.0298768115940002
2014-03-16,4.441304341552667
2014-03-31,4.330469038208666
2014-04-15,3.420559912097333
2014-04-30,3.1109620872586663
2014-05-15,2.9118568115426666
2014-05-30,3.82276163117
2014-06-14,3.35699092428
2014-06-29,3.0240047634319995
2014-07-14,2.346207475006
2014-07-29,2.062390383364667
2014-08-13,2.7215191559564
2014-08-28,2.5926720216199333
2014-09-12,2.733635646840667
2014-09-27,2.9781890815088
2014-10-12,3.3716948323826665
2014-10-27,2.830996369163333
2014-11-11,2.9288731070093332
2014-11-26,3.216297453772
2014-12-11,3.2340634920646667
2014-12-26,3.7845555555559995
2015-01-10,3.8087272724513337
2015-01-25,4.452437050962001
2015-02-09,3.083294765512667
2015-02-24,3.5411536556033334
2015-03-11,3.787780538140667
2015-03-26,5.26942878659
2015-04-10,3.9332457552639997
2015-04-25,3.331738590572
2015-05-10,3.5362450456958
2015-05-25,2.987890029202
2015-06-09,2.377857524548667
2015-06-24,2.9191826101819998
2015-07-09,3.4597494001246663
2015-07-24,2.2200955472833335
2015-08-08,2.52412384468
2015-08-23,2.846764010768
2015-09-07,2.2113522690666665
2015-09-22,3.3785991140573333
2015-10-07,2.851575277814667
2015-10-22,3.6559083325039334
2015-11-06,3.2423004273913336
2015-11-21,3.22840991673
2015-12-06,4.314481780537333
2015-12-21,4.870303030302727
